类型,情绪ID,情绪名称,心语内容,作者
通用,general,通用,每一次情绪的波动，都是内心在与你对话,MoodFlow
通用,general,通用,允许自己感受，是治愈的开始,MoodFlow
通用,general,通用,今天的你，已经很棒了,MoodFlow
通用,general,通用,情绪没有好坏，只有来了又去的流动,MoodFlow
通用,general,通用,关爱自己，从记录情绪开始,MoodFlow
通用,general,通用,每一种情绪，都值得被温柔对待,MoodFlow
通用,general,通用,你比自己想象的更坚强,MoodFlow
通用,general,通用,情绪是内心的天气，总会雨过天晴,MoodFlow
情绪,anxiety,焦虑 - 8条,焦虑是大脑在试图保护你，试着对它说声谢谢,MoodFlow
情绪,anxiety,焦虑 - 8条,深呼吸，此刻你是安全的，焦虑会过去,MoodFlow
情绪,anxiety,焦虑 - 8条,把注意力带回当下，焦虑就会失去力量,MoodFlow
情绪,anxiety,焦虑 - 8条,你的担心90%都不会发生，放轻松,MoodFlow
情绪,anxiety,焦虑 - 8条,焦虑像海浪，来了又会退去,MoodFlow
情绪,anxiety,焦虑 - 8条,慢慢来，你不需要一次性解决所有问题,MoodFlow
情绪,anxiety,焦虑 - 8条,允许自己暂停一下，休息不是放弃,MoodFlow
情绪,anxiety,焦虑 - 8条,你已经做得很好了，给自己一点信任,MoodFlow
情绪,melancholy,忧郁 - 8条,悲伤是心灵的雨季，雨过总会天晴,MoodFlow
情绪,melancholy,忧郁 - 8条,允许自己难过，这是治愈的一部分,MoodFlow
情绪,melancholy,忧郁 - 8条,你的感受是真实的，值得被倾听,MoodFlow
情绪,melancholy,忧郁 - 8条,即使此刻阴霾，你内心仍有光芒,MoodFlow
情绪,melancholy,忧郁 - 8条,忧郁不会定义你，它只是暂时的访客,MoodFlow
情绪,melancholy,忧郁 - 8条,给自己一个拥抱，你值得被温柔以待,MoodFlow
情绪,melancholy,忧郁 - 8条,眼泪是心灵的洗礼，哭出来会好一些,MoodFlow
情绪,melancholy,忧郁 - 8条,这段路很难，但你不是一个人在走,MoodFlow
情绪,happy,快乐 - 8条,享受这份快乐，这是你应得的,MoodFlow
情绪,happy,快乐 - 8条,你的笑容是这个世界的美好,MoodFlow
情绪,happy,快乐 - 8条,快乐会传染，分享给你的身边人,MoodFlow
情绪,happy,快乐 - 8条,记住此刻的感受，它是你的力量源泉,MoodFlow
情绪,happy,快乐 - 8条,你值得拥有所有的美好,MoodFlow
情绪,happy,快乐 - 8条,开心的时候，时间就让它慢下来,MoodFlow
情绪,happy,快乐 - 8条,你的快乐是给自己最好的礼物,MoodFlow
情绪,happy,快乐 - 8条,今天的好心情，是明天的好兆头,MoodFlow
情绪,regret,懊悔 - 8条,过去的已经过去，你已经在成长,MoodFlow
情绪,regret,懊悔 - 8条,原谅自己，那时你已经尽力了,MoodFlow
情绪,regret,懊悔 - 8条,懊悔说明你在乎，但别让它困住你,MoodFlow
情绪,regret,懊悔 - 8条,每一次跌倒，都是站起来的机会,MoodFlow
情绪,regret,懊悔 - 8条,错误是老师，教会我们更好的方式,MoodFlow
情绪,regret,懊悔 - 8条,放下过去，才能拥抱更好的未来,MoodFlow
情绪,regret,懊悔 - 8条,你值得被原谅，尤其是被自己,MoodFlow
情绪,regret,懊悔 - 8条,今天的你，比昨天更智慧,MoodFlow
情绪,calm,平静 - 8条,享受这份宁静，这是你内心的港湾,MoodFlow
情绪,calm,平静 - 8条,平静是最珍贵的状态，好好珍惜,MoodFlow
情绪,calm,平静 - 8条,此刻的你，与自己和解,MoodFlow
情绪,calm,平静 - 8条,内心的安宁，是最好的礼物,MoodFlow
情绪,calm,平静 - 8条,让这份平静成为你的力量,MoodFlow
情绪,calm,平静 - 8条,你找到了属于自己的节奏,MoodFlow
情绪,calm,平静 - 8条,平静不是没有波澜，而是学会航行,MoodFlow
情绪,calm,平静 - 8条,这份宁静，是你给自己的温柔,MoodFlow
情绪,anticipation,期待 - 8条,期待让生活充满色彩,MoodFlow
情绪,anticipation,期待 - 8条,美好的事情正在向你走来,MoodFlow
情绪,anticipation,期待 - 8条,保持这份憧憬，它会成真,MoodFlow
情绪,anticipation,期待 - 8条,期待是心灵的翅膀,MoodFlow
情绪,anticipation,期待 - 8条,你的期待，宇宙都听到了,MoodFlow
情绪,anticipation,期待 - 8条,带着希望前行，路会越走越宽,MoodFlow
情绪,anticipation,期待 - 8条,期待的过程，本身就是一种幸福,MoodFlow
情绪,anticipation,期待 - 8条,相信美好的事情即将发生,MoodFlow
情绪,content,满足 - 8条,知足是幸福的起点,MoodFlow
情绪,content,满足 - 8条,你拥有的一切，都值得感恩,MoodFlow
情绪,content,满足 - 8条,满足是内心最踏实的幸福,MoodFlow
情绪,content,满足 - 8条,此刻的你，刚刚好,MoodFlow
情绪,content,满足 - 8条,感恩让平凡的日子闪闪发光,MoodFlow
情绪,content,满足 - 8条,你已经拥有很多，珍惜当下,MoodFlow
情绪,content,满足 - 8条,满足不是停止，而是懂得欣赏,MoodFlow
情绪,content,满足 - 8条,内心的富足，胜过一切,MoodFlow
情绪,doubt,怀疑 - 8条,不确定是正常的，答案会浮现,MoodFlow
情绪,doubt,怀疑 - 8条,怀疑是思考的开始，不是终点,MoodFlow
情绪,doubt,怀疑 - 8条,相信你的直觉，它很少出错,MoodFlow
情绪,doubt,怀疑 - 8条,迷茫时，先停下来听听内心,MoodFlow
情绪,doubt,怀疑 - 8条,答案就在你心里，只是需要安静,MoodFlow
情绪,doubt,怀疑 - 8条,怀疑让你更谨慎，这是优点,MoodFlow
情绪,doubt,怀疑 - 8条,不必急于确定，给自己时间,MoodFlow
情绪,doubt,怀疑 - 8条,困惑时，信息会自然清晰,MoodFlow
情绪,stress,压力 - 8条,压力是成长的催化剂，适度就好,MoodFlow
情绪,stress,压力 - 8条,你不需要一直坚强，允许自己脆弱,MoodFlow
情绪,stress,压力 - 8条,把大压力拆成小步骤，一步步来,MoodFlow
情绪,stress,压力 - 8条,深呼吸，告诉自己：我可以,MoodFlow
情绪,stress,压力 - 8条,压力会过去，你会更强大,MoodFlow
情绪,stress,压力 - 8条,记得给自己留白的时间,MoodFlow
情绪,stress,压力 - 8条,你已经扛过很多，这次也可以,MoodFlow
情绪,stress,压力 - 8条,放下完美主义，完成比完美重要,MoodFlow
